TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2003,8,13,22,1,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2004,2,14,15,0,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2004,2,17,1,50,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2004,2,22,11,28,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2004,2,24,22,30,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2004,3,7,5,45,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2005,11,22,6,1,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2021,3,13,8,0,17XX BOUNDARY RD,Hastings-Sunrise,498273.1033,5457366.2124
Break and Enter Commercial,2010,6,2,18,53,17XX BOUNDARY RD,Hastings-Sunrise,498273.1995,5457392.7837
Break and Enter Commercial,2003,8,10,4,40,17XX NANAIMO ST,Hastings-Sunrise,495885.2889,5457320.3812
Break and Enter Commercial,2003,10,11,2,45,17XX NANAIMO ST,Hastings-Sunrise,495885.2889,5457320.3812
Break and Enter Commercial,2004,8,4,2,0,17XX NANAIMO ST,Hastings-Sunrise,495885.2889,5457320.3812
Break and Enter Commercial,2009,6,22,18,36,17XX NANAIMO ST,Hastings-Sunrise,495885.2889,5457320.3812
Break and Enter Commercial,2015,11,8,3,4,17XX NANAIMO ST,Hastings-Sunrise,495885.2889,5457320.3812
Break and Enter Commercial,2003,12,7,3,0,17XX NANAIMO ST,Hastings-Sunrise,495886.2159,5457385.2091
Break and Enter Commercial,2005,9,29,0,30,17XX NANAIMO ST,Hastings-Sunrise,495886.2159,5457385.2091
Break and Enter Commercial,2003,5,4,23,0,17XX RENFREW ST,Hastings-Sunrise,496786.6715,5457313.7596
Break and Enter Commercial,2004,2,12,3,0,17XX RENFREW ST,Hastings-Sunrise,496786.726,5457319.22
Break and Enter Commercial,2003,9,15,14,30,17XX RENFREW ST,Hastings-Sunrise,496786.8531,5457331.961
Break and Enter Commercial,2012,3,22,22,0,17XX RENFREW ST,Hastings-Sunrise,496786.9985,5457346.5222
Break and Enter Commercial,2012,3,27,21,30,17XX RENFREW ST,Hastings-Sunrise,496787.1256,5457359.2632
Break and Enter Commercial,2012,10,25,7,16,17XX RENFREW ST,Hastings-Sunrise,496787.1256,5457359.2632
Break and Enter Commercial,2003,7,23,0,0,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2003,8,10,17,0,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2003,9,4,21,30,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2003,9,29,5,10,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2003,11,5,16,0,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2003,12,21,5,23,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2005,10,30,8,0,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2006,1,25,4,58,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2006,3,31,15,30,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2006,4,4,15,30,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2006,4,27,20,22,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2007,7,14,23,0,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2017,12,10,21,17,18XX BOUNDARY RD,Hastings-Sunrise,498272.6628,5457221.6181
Break and Enter Commercial,2014,9,8,20,4,18XX RENFREW ST,Hastings-Sunrise,496776.1177,5457244.1992
Break and Enter Commercial,2003,11,16,6,6,18XX RENFREW ST,Hastings-Sunrise,496776.637,5457267.7547
Break and Enter Commercial,2006,12,15,5,8,18XX RENFREW ST,Hastings-Sunrise,496776.637,5457267.7547
Break and Enter Commercial,2013,3,25,3,28,18XX RENFREW ST,Hastings-Sunrise,496776.677,5457269.5667
Break and Enter Commercial,2020,1,5,0,16,18XX RENFREW ST,Hastings-Sunrise,496784.8601,5457225.878
Break and Enter Commercial,2018,2,23,19,0,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2018,4,22,10,10,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2019,12,25,5,7,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2020,1,5,22,30,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2020,1,12,1,19,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2020,1,20,23,40,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2020,2,9,5,3,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2020,11,3,5,30,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.3718
Break and Enter Commercial,2012,12,14,19,24,18XX RENFREW ST,Hastings-Sunrise,496786.0584,5457280.2369
Break and Enter Commercial,2019,10,15,3,24,18XX RENFREW ST,Hastings-Sunrise,496786.3341,5457292.7592
Break and Enter Commercial,2004,11,17,23,30,18XX RENFREW ST,Hastings-Sunrise,496786.4579,5457298.3566
Break and Enter Commercial,2006,1,19,5,28,18XX RENFREW ST,Hastings-Sunrise,496786.4579,5457298.3566
Break and Enter Commercial,2008,12,13,23,0,18XX RENFREW ST,Hastings-Sunrise,496786.4579,5457298.3566
